"","x"
"1","TCGA-Z4-A8JB-01A-23R-A37L-07"
"2","TCGA-SI-A71O-01A-12R-A33J-07"
"3","TCGA-Z4-AAPF-01A-11R-A39D-07"
"4","TCGA-SI-AA8C-01A-11R-A38C-07"
"5","TCGA-MJ-A850-01A-11R-A355-07"
"6","TCGA-DX-A6BH-01A-12R-A30C-07"
"7","TCGA-SI-A71Q-01A-12R-A33J-07"
"8","TCGA-MO-A47P-01A-11R-A24X-07"
"9","TCGA-3B-A9HR-01A-11R-A38C-07"
"10","TCGA-FX-A8OO-01A-11R-A36F-07"
"11","TCGA-QQ-A8VH-01A-11R-A37L-07"
"12","TCGA-IE-A4EH-01A-11R-A24X-07"
"13","TCGA-SI-A71O-06A-11R-A38C-07"
"14","TCGA-DX-A3UC-01A-11R-A30C-07"
"15","TCGA-DX-AB3C-01A-11R-A41I-07"
"16","TCGA-DX-AB3B-01A-11R-A41I-07"
"17","TCGA-Z4-A9VC-01A-11R-A37L-07"
"18","TCGA-3B-A9I0-01A-11R-A39D-07"
"19","TCGA-DX-AB2G-01A-11R-A39D-07"
"20","TCGA-X6-A8C7-01A-11R-A36F-07"
"21","TCGA-DX-A48N-01A-11R-A30C-07"
"22","TCGA-DX-A6Z0-01A-13R-A36F-07"
"23","TCGA-PC-A5DM-01A-11R-A27Q-07"
"24","TCGA-3B-A9HT-01A-11R-A39D-07"
"25","TCGA-3B-A9HL-01A-11R-A38C-07"
"26","TCGA-IW-A3M5-01A-22R-A21T-07"
"27","TCGA-DX-A1KZ-01A-11R-A24X-07"
"28","TCGA-SG-A849-01A-11R-A355-07"
"29","TCGA-DX-AATS-01A-12R-A41I-07"
"30","TCGA-HS-A5N8-01A-11R-A26T-07"
"31","TCGA-X6-A8C6-01A-11R-A36F-07"
"32","TCGA-SG-A6Z4-01A-22R-A33J-07"
"33","TCGA-X6-A8C3-01A-11R-A36F-07"
"34","TCGA-DX-A8BL-01A-11R-A41I-07"
"35","TCGA-DX-A6Z2-01A-12R-A36F-07"
"36","TCGA-IE-A4EK-01A-11R-A24X-07"
"37","TCGA-3B-A9HU-01A-11R-A39D-07"
"38","TCGA-DX-A1KU-01A-32R-A24X-07"
"39","TCGA-SI-AA8B-01A-11R-A38C-07"
"40","TCGA-3B-A9HQ-01A-11R-A38C-07"
